1715	253	2.78	259	0.82	1588	259	0.00	286	0.45	
1940	258	0.14	264	0.94	1397	257	11.77	278	11.67	
2054	259	3.27	264	1.01	1672	263	2.16	286	4.36	
1681	261	0.74	263	0.84	1534	263	0.55	284	1.17	
1907	260	5.83	265	5.25	1398	262	0.89	298	3.13	
1662	265	4.59	265	9.56	1639	264	1.80	285	1.25	
1858	260	1.12	264	4.00	1641	260	0.74	291	5.27	
1939	259	1.96	267	5.52	1438	258	1.34	291	7.44	
1675	259	0.05	264	13.60	1716	257	0.11	295	0.10	
1636	258	2.64	266	6.85	1780	265	0.00	292	1.38	
1949	260	1.27	264	10.70	1660	263	0.20	292	1.86	
1894	267	0.24	266	16.17	1707	270	0.78	290	3.71	
1674	264	1.23	266	5.61	1470	269	0.19	293	1.48	
1927	262	3.44	266	4.31	1669	261	2.15	292	3.71	
1804	261	1.80	267	6.66	1540	261	1.78	299	9.71	
1347	259	5.67	267	7.62	1575	255	0.11	301	8.10	
1750	265	2.95	271	13.41	1617	266	4.46	290	2.92	
1873	260	5.72	267	17.83	1640	265	6.75	290	2.09	
1697	259	8.56	270	1.31	1572	259	0.18	295	4.34	
1645	255	1.78	268	7.17	1668	265	0.33	295	2.64	
2005	259	2.97	269	1.94	1879	262	0.12	288	5.58	
1809	256	0.67	265	3.38	1824	264	2.46	286	4.60	
1773	261	5.69	267	5.94	1436	259	2.77	297	9.99	
1844	264	2.57	266	6.02	1751	265	0.85	297	4.10	
2027	263	0.00	265	0.50	1746	271	2.02	288	0.65	
1746	268	3.63	266	2.54	1572	268	0.21	289	11.48	
1920	262	0.19	266	5.21	1561	265	7.22	298	0.86	
2003	265	0.00	266	4.31	1497	264	1.76	296	0.32	
1739	256	3.17	269	7.79	1749	266	0.17	296	2.98	
1911	264	4.79	268	0.34	1552	261	2.48	300	2.26	
1866	262	0.06	266	4.09	1847	268	2.31	286	2.31	
2142	261	2.84	267	11.22	1612	262	1.50	290	1.54	
1815	268	1.09	269	2.67	1743	261	3.42	300	2.16	
1729	261	5.20	268	3.13	1514	269	0.97	296	0.97	
2052	262	3.35	266	1.64	1448	260	0.53	299	8.38	
1711	258	5.07	266	2.49	1626	260	2.92	276	0.05	
2013	260	15.80	270	7.79	1714	265	0.05	293	4.21	
1794	258	9.38	264	6.29	1617	263	0.41	288	4.55	
1771	255	4.60	266	2.80	1729	262	0.00	289	0.09	
1825	248	0.47	263	2.72	1673	259	3.08	287	8.22	
